Date,VIVAX Equity ,VFINX Equity
7/1/2004,0.013899466,0.00271167
8/1/2004,0.00442629,0.005416423
9/1/2004,0.018511316,0.017706489
10/1/2004,0.043859527,0.038237682
11/1/2004,0.025470505,0.024361502
12/1/2004,-0.014767304,-0.019282928
1/1/2005,0.030123835,0.018872015
2/1/2005,-0.023605018,-0.023820336
3/1/2005,-0.010872285,-0.017625044
4/1/2005,0.018551418,0.028861069
5/1/2005,0.001802695,-0.004960601
6/1/2005,0.032546347,0.037693665
7/1/2005,-0.006243229,-0.011779196
8/1/2005,0.004417448,0.000339527
9/1/2005,-0.021748439,-0.015129586
10/1/2005,0.031257006,0.034000816
11/1/2005,-0.003759647,-0.008259249
12/1/2005,0.036229754,0.027997997
1/1/2006,0.003103445,-0.000854043
2/1/2006,0.00359561,0.004534142
3/1/2006,0.027897454,0.013472504
4/1/2006,-0.027520901,-0.033244589
5/1/2006,-0.002257145,-0.00686922
6/1/2006,0.027740752,0.006184749
7/1/2006,0.01273727,0.019178607
8/1/2006,0.010772804,0.016784773
9/1/2006,0.032821884,0.032067768
10/1/2006,0.016026307,0.014571723
11/1/2006,0.01246833,0.004697835
12/1/2006,0.012338988,0.015631875
1/1/2007,-0.020710613,-0.024063521
2/1/2007,0.005921962,0.002645615
3/1/2007,0.042449181,0.043096611
4/1/2007,0.0318803,0.029988575
5/1/2007,-0.030479343,-0.025028468
6/1/2007,-0.044991147,-0.031280895
7/1/2007,0.008976037,0.010863707
8/1/2007,0.022427012,0.028034226
9/1/2007,0.004892295,0.016752325
10/1/2007,-0.053868881,-0.045947746
11/1/2007,-0.026144667,-0.015778317
12/1/2007,-0.036123666,-0.059093847
1/1/2008,-0.051807117,-0.035851204
2/1/2008,-0.012241608,-0.010951738
3/1/2008,0.045927754,0.050788207
4/1/2008,-0.005254424,0.011614576
5/1/2008,-0.108335823,-0.094160664
6/1/2008,0.002139905,-0.005252316
7/1/2008,0.014818899,0.012777282
8/1/2008,-0.081818331,-0.100368646
9/1/2008,-0.174154089,-0.179460782
10/1/2008,-0.065617551,-0.075219032
11/1/2008,0.006480791,0.001544284
12/1/2008,-0.11122335,-0.079151067
1/1/2009,-0.14330065,-0.11277904
2/1/2009,0.074717691,0.076907959
3/1/2009,0.108163245,0.098101073
4/1/2009,0.065130041,0.05448078
5/1/2009,-0.015560874,-0.003180267
6/1/2009,0.083899454,0.078201004
7/1/2009,0.049603277,0.035198127
8/1/2009,0.026893816,0.031436341
9/1/2009,-0.021127755,-0.013982421
10/1/2009,0.058120191,0.057976504
11/1/2009,0.003722519,0.012898408
12/1/2009,-0.016755253,-0.030417009
1/1/2010,0.02495144,0.030400077
2/1/2010,0.054762987,0.054294682
3/1/2010,0.022474188,0.019607617
4/1/2010,-0.081216742,-0.083471381
5/1/2010,-0.058661785,-0.059151196
6/1/2010,0.069420408,0.072581273
7/1/2010,-0.043646896,-0.046506275
8/1/2010,0.0662757,0.080211395
9/1/2010,0.032701401,0.042121184
10/1/2010,-0.005790519,-0.000133324
11/1/2010,0.069614847,0.060222367
12/1/2010,0.034081389,0.027408903
1/1/2011,0.039336682,0.033492249
2/1/2011,-0.005083559,-0.004048192
3/1/2011,0.034208226,0.033146269
4/1/2011,-0.01377684,-0.011595174
5/1/2011,-0.027098688,-0.021422097
6/1/2011,-0.030071043,-0.01621897
7/1/2011,-0.060057497,-0.0560289
8/1/2011,-0.080713224,-0.078426293
9/1/2011,0.105617381,0.108711125
10/1/2011,-0.004969712,-0.002355834
11/1/2011,0.016244043,0.00449202
12/1/2011,0.041113876,0.04934198
1/1/2012,0.038440653,0.042149935
2/1/2012,0.022867159,0.02808134
3/1/2012,-0.003883753,-0.00231351
4/1/2012,-0.061551763,-0.062123626
5/1/2012,0.038733402,0.035261445
6/1/2012,0.018980704,0.01850667
7/1/2012,0.013873737,0.02207163
8/1/2012,0.023750437,0.02052124
9/1/2012,0.000875045,-0.014019696
10/1/2012,-0.005360178,0.005500468
11/1/2012,0.010871112,0.002042017
12/1/2012,0.069458288,0.057185498
1/1/2013,0.015014763,0.013258369
2/1/2013,0.032913745,0.032196831
3/1/2013,0.02677941,0.023227063
4/1/2013,0.024130334,0.022949618
5/1/2013,-0.013575653,-0.018378835
6/1/2013,0.055953953,0.054196805
7/1/2013,-0.036680914,-0.029584452
8/1/2013,0.015522615,0.025976194
9/1/2013,0.049994564,0.049514878
10/1/2013,0.031468261,0.02981793
11/1/2013,0.014170385,0.019647209
12/1/2013,-0.030519145,-0.030183054
1/1/2014,0.038545822,0.044538726
2/1/2014,0.020219907,0.003930258
3/1/2014,0.013988199,0.011418383
4/1/2014,0.014179392,0.023039119
5/1/2014,0.013363775,0.016086007
6/1/2014,-0.007569375,-0.009802896
7/1/2014,0.034327521,0.039064215
8/1/2014,-0.019108967,-0.01875036
9/1/2014,0.024116293,0.0283603
10/1/2014,0.023571261,0.02645374
11/1/2014,-0.002433051,-0.007928712
12/1/2014,-0.035486761,-0.025221046
1/1/2015,0.051133338,0.055721255
2/1/2015,-0.021581308,-0.020876323
3/1/2015,0.021074578,0.014267359
4/1/2015,0.01109796,0.012620606
5/1/2015,-0.027897518,-0.023937194
6/1/2015,0.015045754,0.024967732
7/1/2015,-0.059929158,-0.062325924
8/1/2015,-0.031596189,-0.030314751
9/1/2015,0.079175482,0.08575147
10/1/2015,0.004023996,0.002859799
11/1/2015,-0.017203765,-0.021742274
12/1/2015,-0.041952063,-0.045709451
1/1/2016,0.000856169,-0.001586496
2/1/2016,0.057048206,0.060205164
3/1/2016,0.021032233,0.008555387
4/1/2016,0.011103936,0.017497023
5/1/2016,0.004956527,-0.002401287
6/1/2016,0.033353489,0.040562346
7/1/2016,0.005920998,0.001077664
8/1/2016,-0.011072736,-0.004420138
9/1/2016,-0.005611337,-0.014444306
