Date,VWELX Equity,VFINX Equity
2/1/2019,0.007018557,0.011852928
3/1/2019,0.028285329,0.042882313
4/1/2019,-0.030670273,-0.06775967
5/1/2019,0.03417451,0.061089475
6/1/2019,0.016087103,0.017050234
7/1/2019,0.002053502,-0.017804195
8/1/2019,0.008223156,0.01223444
9/1/2019,0.018612974,0.024144258
10/1/2019,0.015040057,0.033998928
11/1/2019,-0.00908959,0.023746268
12/1/2019,0.029969684,0.002778341
1/1/2020,-0.056060277,-0.087298987
2/1/2020,-0.106624251,-0.137746936
3/1/2020,0.083764593,0.12356342
4/1/2020,0.027725374,0.046371022
5/1/2020,0.003076191,0.01464191
6/1/2020,0.050262712,0.059377489
7/1/2020,0.032193589,0.071274287
8/1/2020,-0.024795656,-0.045001597
9/1/2020,-0.01033657,-0.023124769
10/1/2020,0.071857734,0.092260777
