Date,VGSIX Equity,VFINX Equity
8/1/2005,-0.005827509,0.000339527
9/1/2005,0.002568019,-0.015129586
10/1/2005,0.007640067,0.034000816
11/1/2005,-0.019139964,-0.008259249
12/1/2005,0.071015037,0.027997997
1/1/2006,0.019006505,-0.000854043
2/1/2006,0.037025735,0.004534142
3/1/2006,-0.044739821,0.013472504
4/1/2006,0.004837394,-0.033244589
5/1/2006,0.048050129,-0.00686922
6/1/2006,0.038424713,0.006184749
7/1/2006,0.017376747,0.019178607
8/1/2006,-0.007118643,0.016784773
9/1/2006,0.036430963,0.032067768
10/1/2006,0.031267221,0.014571723
11/1/2006,-0.042293549,0.004697835
12/1/2006,0.085261078,0.015631875
1/1/2007,-0.000367678,-0.024063521
2/1/2007,-0.03224173,0.002645615
3/1/2007,-0.037891235,0.043096611
4/1/2007,-0.031130522,0.029988575
5/1/2007,-0.084317023,-0.025028468
6/1/2007,-0.037520803,-0.031280895
7/1/2007,0.0520615,0.010863707
8/1/2007,0.003471112,0.028034226
9/1/2007,0.005459341,0.016752325
10/1/2007,-0.051850134,-0.045947746
11/1/2007,-0.052725511,-0.015778317
12/1/2007,0.071974006,-0.059093847
1/1/2008,-0.002153194,-0.035851204
2/1/2008,0.065983973,-0.010951738
3/1/2008,0.013951307,0.050788207
4/1/2008,-0.010248994,0.011614576
5/1/2008,-0.032763031,-0.094160664
6/1/2008,0.048988521,-0.005252316
7/1/2008,0.009506364,0.012777282
8/1/2008,0.086561655,-0.100368646
9/1/2008,-0.182210196,-0.179460782
10/1/2008,-0.191269122,-0.075219032
11/1/2008,0.132340064,0.001544284
12/1/2008,-0.085585792,-0.079151067
1/1/2009,-0.11989075,-0.11277904
2/1/2009,-0.059429471,0.076907959
3/1/2009,0.192041548,0.098101073
4/1/2009,-0.03119176,0.05448078
5/1/2009,-0.045885803,-0.003180267
6/1/2009,0.039016134,0.078201004
7/1/2009,0.095707146,0.035198127
8/1/2009,0.02376041,0.031436341
9/1/2009,-0.024423423,-0.013982421
10/1/2009,0.008272932,0.057976504
11/1/2009,0.042517201,0.012898408
12/1/2009,-0.011590031,-0.030417009
1/1/2010,0.023629692,0.030400077
2/1/2010,0.035297807,0.054294682
3/1/2010,0.055520031,0.019607617
4/1/2010,0.027802582,-0.083471381
5/1/2010,-0.003683433,-0.059151196
6/1/2010,0.029342832,0.072581273
7/1/2010,0.034017102,-0.046506275
8/1/2010,-0.04609035,0.080211395
9/1/2010,0.013197181,0.042121184
10/1/2010,-0.020497266,-0.000133324
11/1/2010,-0.025345211,0.060222367
12/1/2010,0.015611092,0.027408903
1/1/2011,0.011302599,0.033492249
2/1/2011,-0.017326279,-0.004048192
3/1/2011,0.028826012,0.033146269
4/1/2011,0.025135263,-0.011595174
5/1/2011,-0.020761871,-0.021422097
6/1/2011,0.039608854,-0.01621897
7/1/2011,-0.000810863,-0.0560289
8/1/2011,-0.047154781,-0.078426293
9/1/2011,0.034736301,0.108711125
10/1/2011,-0.035623267,-0.002355834
11/1/2011,0.029857436,0.00449202
12/1/2011,0.024417397,0.04934198
1/1/2012,-0.053432968,0.042149935
2/1/2012,0.014416649,0.02808134
3/1/2012,0.038428183,-0.00231351
4/1/2012,0.015078233,-0.062123626
5/1/2012,0.011783948,0.035261445
6/1/2012,0.008468773,0.01850667
7/1/2012,-0.023425001,0.02207163
8/1/2012,-0.046591852,0.02052124
9/1/2012,0.013238988,-0.014019696
10/1/2012,-0.009245275,0.005500468
11/1/2012,0.022513121,0.002042017
12/1/2012,-0.009118342,0.057185498
1/1/2013,-0.000976904,0.013258369
2/1/2013,-0.011062235,0.032196831
3/1/2013,0.048976951,0.023227063
4/1/2013,-0.084399391,0.022949618
5/1/2013,-0.010533707,-0.018378835
6/1/2013,-0.036658315,0.054196805
7/1/2013,-0.041488383,-0.029584452
8/1/2013,-0.00247846,0.025976194
9/1/2013,0.002757969,0.049514878
10/1/2013,-0.083545974,0.02981793
11/1/2013,-0.032144463,0.019647209
12/1/2013,0.086335154,-0.030183054
1/1/2014,0.003889474,0.044538726
2/1/2014,-0.005208875,0.003930258
3/1/2014,0.027817868,0.011418383
4/1/2014,0.000203296,0.023039119
5/1/2014,-0.013670308,0.016086007
6/1/2014,0.01912547,-0.009802896
7/1/2014,-0.009754925,0.039064215
8/1/2014,-0.052000563,-0.01875036
9/1/2014,0.075117066,0.0283603
10/1/2014,-0.006830391,0.02645374
11/1/2014,0.013889848,-0.007928712
12/1/2014,0.116841494,-0.025221046
1/1/2015,-0.09223082,0.055721255
2/1/2015,0.032362343,-0.020876323
3/1/2015,-0.069780732,0.014267359
4/1/2015,-0.01527947,0.012620606
5/1/2015,-0.032796208,-0.023937194
6/1/2015,0.039044547,0.024967732
7/1/2015,0.02226632,-0.062325924
8/1/2015,0.025940109,-0.030314751
9/1/2015,-0.02009453,0.08575147
10/1/2015,-0.009285777,0.002859799
11/1/2015,0.025905156,-0.021742274
12/1/2015,0.02511336,-0.045709451
1/1/2016,-0.002721513,-0.001586496
2/1/2016,0.028015693,0.060205164
3/1/2016,-0.022173423,0.008555387
4/1/2016,0.005793697,0.017497023
5/1/2016,0.060398806,-0.002401287
6/1/2016,0.008918955,0.040562346
7/1/2016,-0.03859244,0.001077664
8/1/2016,-0.020585234,-0.004420138
9/1/2016,-0.037860622,-0.014444306
10/1/2016,-0.053524394,0.03608082
11/1/2016,0.020334589,0.013167831
12/1/2016,-0.012890552,0.024226461
1/1/2017,-0.004682046,0.038437415
2/1/2017,-0.02697097,-0.0038669
3/1/2017,-0.00570872,0.014067018
4/1/2017,-0.019775066,0.013207943
5/1/2017,0.010477333,0.001167724
6/1/2017,-0.002275832,0.023663739
7/1/2017,-0.004576999,0.002072024
8/1/2017,-0.025791247,0.014621948
9/1/2017,-0.027318471,0.026944143
10/1/2017,-0.003238488,0.029251654
11/1/2017,-0.022730905,0.005464184
12/1/2017,-0.087196062,0.059031323
1/1/2018,-0.040757653,-0.038843279
2/1/2018,0.059662384,-0.031354829
3/1/2018,0.010900957,0.006555032
4/1/2018,0.013127741,0.022222707
5/1/2018,0.031479715,7.79E-05
6/1/2018,-0.022892762,0.039172937
7/1/2018,-0.006041349,0.030339882
8/1/2018,-0.039783788,-0.000426037
9/1/2018,0.051657529,-0.068447456
10/1/2018,0.027964868,0.018240559
11/1/2018,0.007139157,-0.101788815
12/1/2018,0.042419029,0.079999998
1/1/2019,-0.02226729,0.02946407
2/1/2019,0.022335499,0.011852928
3/1/2019,-0.0372217,0.042882313
4/1/2019,0.068799729,-0.06775967
5/1/2019,-0.053495286,0.061089475
6/1/2019,0.007580518,0.017050234
7/1/2019,0.054691563,-0.017804195
8/1/2019,-0.001202478,0.01223444
9/1/2019,-0.005884868,0.024144258
10/1/2019,-0.04685266,0.033998928
11/1/2019,-0.02601263,0.023746268
12/1/2019,0.019064233,0.002778341
1/1/2020,0.013856311,-0.087298987
2/1/2020,-0.083673955,-0.137746936
3/1/2020,-0.032202204,0.12356342
4/1/2020,-0.029122425,0.046371022
5/1/2020,1.89E-05,0.01464191
6/1/2020,-0.015228878,0.059377489
7/1/2020,-0.066846284,0.071274287
8/1/2020,0.010922345,-0.045001597
9/1/2020,-0.000817384,-0.023124769
10/1/2020,4.31E-05,0.092260777
