Date,Open,High,Low,Close,Adj Close,Volume,Monthly Total Return,Monthly Risk Free Return,Monthly Equity Premium
7/1/1997,19.299999,20.15,19.299999,19.9,9.591527,0,-0.058459937,0.004365458,-0.062825395
8/1/1997,19.709999,19.790001,18.77,18.77,9.046882,0,0.092545672,0.004365458,0.088180214
9/1/1997,19.1,20.59,18.93,20.59,9.924097,0,-0.05080753,0.00435716,-0.05516469
10/1/1997,20.719999,21.040001,18.780001,19.57,9.432473,0,0.013701974,0.004207801,0.009494173
11/1/1997,19.83,20.209999,19.299999,19.84,9.562606,0,0.014511035,0.004332269,0.010178766
12/1/1997,20.16,20.549999,20.030001,20.129999,9.702381,0,0.061882775,0.004340566,0.057542209
1/1/1998,20.299999,20.969999,19.41,20.969999,10.321758,0,0.074856955,0.004456721,0.070400234
2/1/1998,21.370001,22.6,21.370001,22.6,11.124068,0,0.067161937,0.004315674,0.062846263
3/1/1998,22.93,24.450001,22.34,24.17,11.896842,0,0.021325365,0.004423535,0.01690183
4/1/1998,24.43,25.41,23.879999,24.629999,12.153271,0,0.024068535,0.004290781,0.019777754
5/1/1998,24.950001,25.870001,24.610001,25.23,12.449331,0,0.011820779,0.00415801,0.007662769
6/1/1998,25.219999,26.02,24.35,25.530001,12.597365,0,0.019011198,0.004182906,0.014828292
7/1/1998,25.73,27.360001,25.73,26.02,12.839147,0,-0.133421434,0.004240994,-0.137662428
8/1/1998,25.6,25.6,22.77,22.77,11.235489,0,-0.041243315,0.004240994,-0.045484309
9/1/1998,22.620001,23.77,21.540001,21.85,10.781526,0,0.075349558,0.004124815,0.071224743
10/1/1998,21.110001,23.559999,20.27,23.559999,11.625299,0,0.052502171,0.003635052,0.048867119
11/1/1998,24.09,25.200001,23.370001,24.83,12.251959,0,0.017960716,0.003601839,0.014358877
12/1/1998,24.09,25.870001,23.969999,25.280001,12.474001,0,0.015921873,0.0038011,0.012120773
1/1/1999,26.17,26.92,24.92,25.09,12.6742,0,-0.027066718,0.003726382,-0.0307931
2/1/1999,25.33,25.33,23.99,24.42,12.335752,0,0.01301907,0.003726382,0.009292688
3/1/1999,24.030001,25.02,23.940001,24.74,12.497402,0,0.030648683,0.003875813,0.02677287
4/1/1999,24.77,25.75,24.620001,25.51,12.886361,0,-0.050241323,0.003734684,-0.053976007
5/1/1999,25.620001,25.68,24.18,24.26,12.254928,0,0.022418114,0.003784496,0.018633618
6/1/1999,24.389999,25.549999,24.360001,24.809999,12.532763,0,0.008428594,0.003875813,0.004552781
7/1/1999,25.200001,25.66,24.6,25.02,12.638843,0,0.010733447,0.003975421,0.006758026
8/1/1999,24.959999,25.549999,24.27,25.290001,12.775232,0,-0.008338392,0.00395052,-0.012288912
9/1/1999,25.5,25.860001,24.76,25.08,12.66915,0,0.03564128,0.004141413,0.031499867
10/1/1999,25.040001,25.99,24.91,25.99,13.128838,0,0.029196447,0.00405842,0.025138027
11/1/1999,25.969999,27.18,25.959999,26.76,13.517804,0,0.074508021,0.00425759,0.070250431
12/1/1999,27.01,28.83,27.01,28.83,14.56346,0,-0.0513217,0.004406942,-0.055728642
1/1/2000,29.02,29.02,26.76,26.76,13.834894,0,0.052058891,0.004431832,0.047627059
2/1/2000,27.059999,28.75,27.059999,28.190001,14.5742,0,0.022102129,0.004788517,0.017313612
3/1/2000,28.690001,29.85,28.34,28.82,14.899907,0,-0.042630528,0.004805104,-0.047435632
4/1/2000,28.309999,28.85,27.059999,27.57,14.278065,0,-0.005820776,0.004888034,-0.01070881
5/1/2000,27.49,27.98,25.82,27.41,14.195197,0,0.022367592,0.004838277,0.017529315
6/1/2000,27.879999,29,27.549999,28.030001,14.516287,0,-0.016909467,0.004680695,-0.021590162
7/1/2000,28.26,28.639999,27.34,27.559999,14.272888,0,-0.010945498,0.004888034,-0.015833532
8/1/2000,27.370001,27.940001,26.67,27.26,14.117516,0,-0.049634412,0.005211397,-0.054845809
9/1/2000,28.02,28.02,24.959999,25.940001,13.433907,0,-0.007739994,0.005244557,-0.012984551
10/1/2000,26.1,26.110001,24.16,25.74,13.33033,0,-0.040433217,0.005178236,-0.045611453
11/1/2000,26,26.120001,24.299999,24.719999,12.802093,0,0.050098941,0.005302583,0.044796358
12/1/2000,25.09,25.99,25.09,25.99,13.459802,0,0.016655277,0.005161656,0.011493621
1/1/2001,25.870001,27.290001,25.290001,25.99,13.685856,0,-0.091815424,0.004896327,-0.096711751
2/1/2001,26.01,26.01,23.450001,23.709999,12.485244,0,-0.078497037,0.004149711,-0.082646748
3/1/2001,23.74,24.34,20.459999,21.92,11.542668,0,0.069238146,0.004033521,0.065204625
4/1/2001,21.77,23.48,21.370001,23.48,12.370178,0,-0.04932259,0.003576928,-0.052899518
5/1/2001,23.52,23.52,22.35,22.35,11.774851,0,-0.038308313,0.003286261,-0.041594574
6/1/2001,22.280001,22.65,21.309999,21.51,11.332307,0,0.002785575,0.003020434,-0.000234859
7/1/2001,21.82,21.82,20.620001,21.57,11.363918,0,-0.026305229,0.00303705,-0.029342279
8/1/2001,21.73,21.82,20.99,21.01,11.068885,0,-0.105307265,0.002945657,-0.108252922
9/1/2001,20.68,20.68,16.85,18.91,9.962527,0,0.030723188,0.002804397,0.027918791
10/1/2001,18.610001,19.92,18.610001,19.5,10.273358,0,0.034277979,0.001998003,0.032279976
11/1/2001,19.74,20.540001,19.74,20.18,10.631613,0,0.00346271,0.001706876,0.001755834
12/1/2001,19.99,20.91,19.67,20.25,10.668491,0,-0.030025059,0.001482234,-0.031507293
1/1/2002,20.27,20.559999,19,19.219999,10.35293,0,0,0.00144895,-0.00144895
2/1/2002,19.280001,19.42,18.719999,19.219999,10.35293,0,0.052697263,0.001465592,0.051231671
3/1/2002,19.41,20.450001,19.41,20.26,10.913132,0,-0.007431469,0.001490555,-0.008922024
4/1/2002,20.450001,20.469999,19.75,20.110001,10.832332,0,0.000994028,0.001490555,-0.000496527
5/1/2002,20.17,20.549999,19.9,20.129999,10.843105,0,-0.03487832,0.001473913,-0.036352233
6/1/2002,20.040001,20.040001,18.379999,19.440001,10.471435,0,-0.117783274,0.00144895,-0.119232224
7/1/2002,19.49,19.49,15.67,17.280001,9.30794,0,-0.000579028,0.001415664,-0.001994692
8/1/2002,16.610001,18.040001,16.16,17.27,9.302552,0,-0.140920661,0.001423986,-0.142344647
9/1/2002,16.549999,17.15,14.69,15,8.079808,0,0.091667237,0.001407343,0.090259894
10/1/2002,15.63,16.440001,14.55,16.440001,8.85547,0,0.038776321,0.001307478,0.037468843
11/1/2002,16.34,17.32,16.34,17.09,9.205597,0,-0.052865216,0.001199281,-0.054064497
12/1/2002,17.24,17.24,15.8,16.209999,8.731581,0,-0.023463428,0.00101615,-0.024479578
1/1/2003,16.51,16.83,15.08,15.45,8.529093,0,-0.03356696,0.00101615,-0.03458311
2/1/2003,15.71,15.71,14.6,14.94,8.247549,0,-0.015514116,0.00098285,-0.016496966
3/1/2003,15.08,15.51,13.64,14.71,8.120583,0,0.12688111,0.0009995,0.12588161
4/1/2003,14.89,16.700001,14.89,16.700001,9.219152,0,0.064351481,0.000949549,0.063401932
5/1/2003,16.77,17.92,16.77,17.809999,9.831923,0,0.010055536,0.000941224,0.009114312
6/1/2003,18.1,19.1,17.98,17.99,9.931287,0,0.019813907,0.000924572,0.018889335
7/1/2003,17.82,18.52,17.73,18.35,10.130027,0,-0.001636576,0.000749719,-0.002386295
8/1/2003,18.16,18.65,18.1,18.32,10.113462,0,0.019995495,0.00079968,0.019195815
9/1/2003,18.41,19.33,18.41,18.690001,10.317721,0,0.064237259,0.000816333,0.063420926
10/1/2003,19.059999,20.040001,19.059999,19.93,11.002254,0,0.041765189,0.000791353,0.040973836
11/1/2003,20.01,20.780001,19.83,20.780001,11.471496,0,0.057051389,0.00079968,0.056251709
12/1/2003,21.059999,22,20.940001,22,12.14499,0,0.03320528,0.0007747,0.03243058
1/1/2004,22.190001,23.02,22.190001,22.25,12.555038,0,0.028795026,0.000791353,0.028003673
2/1/2004,22.32,23.57,22.32,22.9,12.921816,0,-0.031946453,0.000766373,-0.032712826
