Date,VEURX Equity,VFINX Equity
11/1/1997,0.010178766,0.00067626
12/1/1997,0.057542209,0.018610021
1/1/1998,0.070400234,0.064996821
2/1/1998,0.062846263,0.041632534
3/1/1998,0.01690183,0.009414846
4/1/1998,0.019777754,-0.021879275
5/1/1998,0.007662769,0.033187639
6/1/1998,0.014828292,-0.012208471
7/1/1998,-0.137662428,-0.160586057
8/1/1998,-0.045484309,0.055121993
9/1/1998,0.071224743,0.077137362
10/1/1998,0.048867119,0.055308877
11/1/1998,0.014358877,0.045500118
12/1/1998,0.012120773,0.044706861
1/1/1999,-0.0307931,-0.03546976
2/1/1999,0.009292688,0.029364183
3/1/1999,0.02677287,0.039983414
4/1/1999,-0.053976007,-0.027915015
5/1/1999,0.018633618,0.047164431
6/1/1999,0.004552781,-0.032556696
7/1/1999,0.006758026,-0.008952735
8/1/1999,-0.012288912,-0.034683645
9/1/1999,0.031499867,0.060156917
10/1/1999,0.025138027,0.015969593
11/1/1999,0.070250431,0.046751881
12/1/1999,-0.055728642,-0.048881179
1/1/2000,0.047627059,-0.023679273
2/1/2000,0.017313612,0.086207779
3/1/2000,-0.047435632,-0.033191745
4/1/2000,-0.01070881,-0.025482427
5/1/2000,0.017529315,0.017397719
6/1/2000,-0.021590162,-0.017389135
7/1/2000,-0.015833532,0.055171427
8/1/2000,-0.054845809,-0.061946643
9/1/2000,-0.012984551,-0.007162281
10/1/2000,-0.045611453,-0.08723038
11/1/2000,0.044796358,-0.003331483
12/1/2000,0.011493621,0.032815905
1/1/2001,-0.096711751,-0.100721753
2/1/2001,-0.082646748,-0.072551037
3/1/2001,0.065204625,0.073476054
4/1/2001,-0.052899518,0.002901456
5/1/2001,-0.041594574,-0.030517782
6/1/2001,-0.000234859,-0.010619219
7/1/2001,-0.029342279,-0.067831832
8/1/2001,-0.108252922,-0.09090264
9/1/2001,0.027918791,0.019486433
10/1/2001,0.032279976,0.071752093
11/1/2001,0.001755834,0.003406093
12/1/2001,-0.031507293,-0.012723065
1/1/2002,-0.00144895,-0.021000278
2/1/2002,0.051231671,0.032549938
3/1/2002,-0.008922024,-0.061438992
4/1/2002,-0.000496527,-0.009063139
5/1/2002,-0.036352233,-0.078775003
6/1/2002,-0.119232224,-0.078556718
7/1/2002,-0.001994692,0.005089331
8/1/2002,-0.142344647,-0.121124132
9/1/2002,0.090259894,0.087200539
10/1/2002,0.037468843,0.058433235
11/1/2002,-0.054064497,-0.069772987
12/1/2002,-0.024479578,-0.022507725
1/1/2003,-0.03458311,-0.016318133
2/1/2003,-0.016496966,0.004782548
3/1/2003,0.12588161,0.08204199
4/1/2003,0.063401932,0.050349808
5/1/2003,0.009114312,0.008321521
6/1/2003,0.018889335,0.019626821
7/1/2003,-0.002386295,0.018390761
8/1/2003,0.019195815,-0.015474094
9/1/2003,0.063420926,0.057940914
10/1/2003,0.040973836,0.0078141
11/1/2003,0.056251709,0.045446994
12/1/2003,0.03243058,0.021918416
1/1/2004,0.028003673,0.012889463
2/1/2004,-0.032712826,-0.019529726
3/1/2004,-0.008947902,-0.013183891
4/1/2004,0.014097376,0.012695597
5/1/2004,0.014736003,0.014960182
6/1/2004,-0.028617202,-0.031252334
7/1/2004,-0.00065449,0.00271167
8/1/2004,0.037891211,0.005416423
9/1/2004,0.033782185,0.017706489
10/1/2004,0.069222537,0.038237682
11/1/2004,0.017050827,0.024361502
12/1/2004,0.001687633,-0.019282928
1/1/2005,0.046007841,0.018872015
2/1/2005,-0.027072045,-0.023820336
3/1/2005,-0.022429586,-0.017625044
4/1/2005,-0.003104833,0.028861069
5/1/2005,0.007323421,-0.004960601
6/1/2005,0.034792275,0.037693665
7/1/2005,0.016992988,-0.011779196
8/1/2005,0.018527666,0.000339527
9/1/2005,-0.035719269,-0.015129586
10/1/2005,0.009926037,0.034000816
11/1/2005,0.009404787,-0.008259249
12/1/2005,0.085511956,0.027997997
1/1/2006,-0.003733065,-0.000854043
2/1/2006,0.033193966,0.004534142
3/1/2006,0.046454361,0.013472504
4/1/2006,-0.028683419,-0.033244589
5/1/2006,-0.003012657,-0.00686922
6/1/2006,0.013295281,0.006184749
7/1/2006,0.025998866,0.019178607
8/1/2006,0.003611591,0.016784773
9/1/2006,0.037921251,0.032067768
10/1/2006,0.033299886,0.014571723
11/1/2006,-0.002836422,0.004697835
12/1/2006,0.03331143,0.015631875
1/1/2007,-0.014091899,-0.024063521
2/1/2007,0.033769869,0.002645615
3/1/2007,0.051430252,0.043096611
4/1/2007,0.02070412,0.029988575
5/1/2007,-0.007038215,-0.025028468
6/1/2007,-0.032957584,-0.031280895
7/1/2007,-0.004770535,0.010863707
8/1/2007,0.046889149,0.028034226
9/1/2007,0.044050504,0.016752325
10/1/2007,-0.04095434,-0.045947746
11/1/2007,-0.053288411,-0.015778317
12/1/2007,-0.067408085,-0.059093847
1/1/2008,-0.005843539,-0.035851204
2/1/2008,0.00775803,-0.010951738
3/1/2008,0.041763404,0.050788207
4/1/2008,0.010105483,0.011614576
5/1/2008,-0.097568794,-0.094160664
6/1/2008,-0.0327217,-0.005252316
7/1/2008,-0.041701954,0.012777282
8/1/2008,-0.146206137,-0.100368646
9/1/2008,-0.246969957,-0.179460782
10/1/2008,-0.072882558,-0.075219032
11/1/2008,-0.002829872,0.001544284
12/1/2008,-0.073502212,-0.079151067
1/1/2009,-0.111718532,-0.11277904
2/1/2009,0.074995869,0.076907959
3/1/2009,0.123698912,0.098101073
4/1/2009,0.131272539,0.05448078
