Date,VIGRX Equity,VFINX Equity
3/1/2002,-0.07381976,-0.061438992
4/1/2002,-0.021466201,-0.009063139
5/1/2002,-0.087454533,-0.078775003
6/1/2002,-0.047545056,-0.078556718
7/1/2002,0.004814923,0.005089331
8/1/2002,-0.114084105,-0.121124132
9/1/2002,0.089623784,0.087200539
10/1/2002,0.050695093,0.058433235
11/1/2002,-0.076487911,-0.069772987
12/1/2002,-0.023594995,-0.022507725
1/1/2003,-0.00410755,-0.016318133
2/1/2003,0.015394394,0.004782548
3/1/2003,0.067793063,0.08204199
4/1/2003,0.031333987,0.050349808
5/1/2003,0.009136793,0.008321521
6/1/2003,0.026951165,0.019626821
7/1/2003,0.022078044,0.018390761
8/1/2003,-0.01919742,-0.015474094
9/1/2003,0.060550061,0.057940914
10/1/2003,0.008326054,0.0078141
11/1/2003,0.026866967,0.045446994
12/1/2003,0.022914185,0.021918416
1/1/2004,0.007806035,0.012889463
2/1/2004,-0.01843115,-0.019529726
3/1/2004,-0.014359763,-0.013183891
4/1/2004,0.018325117,0.012695597
5/1/2004,0.008997599,0.014960182
6/1/2004,-0.056378283,-0.031252334
7/1/2004,-0.007744105,0.00271167
8/1/2004,0.010377142,0.005416423
9/1/2004,0.015839745,0.017706489
10/1/2004,0.036331614,0.038237682
11/1/2004,0.027998624,0.024361502
12/1/2004,-0.025597469,-0.019282928
1/1/2005,0.009411716,0.018872015
2/1/2005,-0.020796147,-0.023820336
3/1/2005,-0.024608777,-0.017625044
4/1/2005,0.04491216,0.028861069
5/1/2005,-0.005879898,-0.004960601
6/1/2005,0.044300097,0.037693665
7/1/2005,-0.015594539,-0.011779196
8/1/2005,-0.001726081,0.000339527
9/1/2005,-0.009655962,-0.015129586
10/1/2005,0.039417601,0.034000816
11/1/2005,-0.009825998,-0.008259249
12/1/2005,0.023422573,0.027997997
1/1/2006,-0.009793336,-0.000854043
2/1/2006,0.008334818,0.004534142
3/1/2006,-0.001733326,0.013472504
4/1/2006,-0.040101159,-0.033244589
5/1/2006,-0.009464418,-0.00686922
6/1/2006,-0.022592966,0.006184749
7/1/2006,0.025399887,0.019178607
8/1/2006,0.02199601,0.016784773
9/1/2006,0.031427482,0.032067768
10/1/2006,0.017643759,0.014571723
11/1/2006,-0.005231881,0.004697835
12/1/2006,0.024635746,0.015631875
1/1/2007,-0.024330805,-0.024063521
2/1/2007,-0.000592328,0.002645615
3/1/2007,0.040002038,0.043096611
4/1/2007,0.029965336,0.029988575
5/1/2007,-0.018355651,-0.025028468
6/1/2007,-0.017839219,-0.031280895
7/1/2007,0.01268236,0.010863707
8/1/2007,0.035671858,0.028034226
9/1/2007,0.030399891,0.016752325
10/1/2007,-0.037189956,-0.045947746
11/1/2007,-0.003578816,-0.015778317
12/1/2007,-0.083262278,-0.059093847
1/1/2008,-0.016953114,-0.035851204
2/1/2008,-0.0119636,-0.010951738
3/1/2008,0.057139064,0.050788207
4/1/2008,0.034912974,0.011614576
5/1/2008,-0.07269505,-0.094160664
6/1/2008,-0.018172901,-0.005252316
7/1/2008,0.010044029,0.012777282
8/1/2008,-0.124978369,-0.100368646
9/1/2008,-0.194169204,-0.179460782
10/1/2008,-0.090506468,-0.075219032
11/1/2008,0.007533639,0.001544284
12/1/2008,-0.042973591,-0.079151067
1/1/2009,-0.076267912,-0.11277904
2/1/2009,0.075976232,0.076907959
3/1/2009,0.091275862,0.098101073
4/1/2009,0.04287713,0.05448078
5/1/2009,0.010699218,-0.003180267
6/1/2009,0.071351393,0.078201004
7/1/2009,0.019324519,0.035198127
8/1/2009,0.041656823,0.031436341
9/1/2009,-0.011545959,-0.013982421
10/1/2009,0.05653113,0.057976504
11/1/2009,0.030055551,0.012898408
12/1/2009,-0.043834184,-0.030417009
1/1/2010,0.036851568,0.030400077
2/1/2010,0.054953527,0.054294682
3/1/2010,0.017429939,0.019607617
4/1/2010,-0.086455699,-0.083471381
5/1/2010,-0.06132141,-0.059151196
6/1/2010,0.07405983,0.072581273
7/1/2010,-0.048513008,-0.046506275
8/1/2010,0.098620165,0.080211395
9/1/2010,0.053262909,0.042121184
10/1/2010,0.009237425,-0.000133324
11/1/2010,0.05119319,0.060222367
12/1/2010,0.02122828,0.027408903
1/1/2011,0.026870527,0.033492249
2/1/2011,0.000480071,-0.004048192
3/1/2011,0.032234017,0.033146269
4/1/2011,-0.007138037,-0.011595174
5/1/2011,-0.016710004,-0.021422097
6/1/2011,-0.004283291,-0.01621897
7/1/2011,-0.057913224,-0.0560289
8/1/2011,-0.081836048,-0.078426293
9/1/2011,0.114021751,0.108711125
10/1/2011,-0.001573098,-0.002355834
11/1/2011,-0.009712521,0.00449202
12/1/2011,0.064006249,0.04934198
1/1/2012,0.047673556,0.042149935
2/1/2012,0.030798511,0.02808134
3/1/2012,-0.000649101,-0.00231351
4/1/2012,-0.066153673,-0.062123626
5/1/2012,0.026253268,0.035261445
6/1/2012,0.015493157,0.01850667
7/1/2012,0.032660202,0.02207163
8/1/2012,0.016956181,0.02052124
9/1/2012,-0.028411443,-0.014019696
10/1/2012,0.019382552,0.005500468
11/1/2012,-0.004990357,0.002042017
12/1/2012,0.048190417,0.057185498
1/1/2013,0.009844099,0.013258369
2/1/2013,0.033040436,0.032196831
3/1/2013,0.017667386,0.023227063
4/1/2013,0.01657625,0.022949618
5/1/2013,-0.023110661,-0.018378835
6/1/2013,0.054662312,0.054196805
7/1/2013,-0.017391627,-0.029584452
8/1/2013,0.043615239,0.025976194
9/1/2013,0.044441525,0.049514878
10/1/2013,0.023493536,0.02981793
11/1/2013,0.029433649,0.019647209
12/1/2013,-0.026979978,-0.030183054
1/1/2014,0.053804564,0.044538726
2/1/2014,-0.018550917,0.003930258
3/1/2014,0.003363712,0.011418383
4/1/2014,0.034655676,0.023039119
5/1/2014,0.021408594,0.016086007
6/1/2014,-0.014217603,-0.009802896
7/1/2014,0.046005579,0.039064215
8/1/2014,-0.021999627,-0.01875036
9/1/2014,0.032577812,0.0283603
10/1/2014,0.029246376,0.02645374
11/1/2014,-0.01350832,-0.007928712
12/1/2014,-0.011501224,-0.025221046
1/1/2015,0.061002442,0.055721255
2/1/2015,-0.015245954,-0.020876323
3/1/2015,0.001932354,0.014267359
4/1/2015,0.014503134,0.012620606
5/1/2015,-0.018700519,-0.023937194
6/1/2015,0.033595609,0.024967732
7/1/2015,-0.054759773,-0.062325924
8/1/2015,-0.041980553,-0.030314751
9/1/2015,0.088395539,0.08575147
10/1/2015,0.001421572,0.002859799
11/1/2015,-0.027791327,-0.021742274
12/1/2015,-0.057828607,-0.045709451
1/1/2016,-0.004606832,-0.001586496
2/1/2016,0.065724655,0.060205164
3/1/2016,-0.005244147,0.008555387
4/1/2016,0.023988184,0.017497023
5/1/2016,-0.00956134,-0.002401287
6/1/2016,0.049112363,0.040562346
7/1/2016,-0.00368099,0.001077664
8/1/2016,0.003231041,-0.004420138
9/1/2016,-0.024087912,-0.014444306
10/1/2016,0.011590649,0.03608082
11/1/2016,0.006016883,0.013167831
12/1/2016,0.039771956,0.024226461
1/1/2017,0.04208568,0.038437415
2/1/2017,0.009678326,-0.0038669
3/1/2017,0.025140698,0.014067018
4/1/2017,0.027077926,0.013207943
5/1/2017,-0.007828381,0.001167724
6/1/2017,0.026460282,0.023663739
7/1/2017,0.011004644,0.002072024
8/1/2017,0.006598207,0.014621948
9/1/2017,0.030088733,0.026944143
10/1/2017,0.023844267,0.029251654
11/1/2017,0.003196698,0.005464184
12/1/2017,0.068299341,0.059031323
1/1/2018,-0.030689147,-0.038843279
2/1/2018,-0.028766687,-0.031354829
3/1/2018,0.003496168,0.006555032
4/1/2018,0.041198575,0.022222707
5/1/2018,0.007690785,7.79E-05
6/1/2018,0.025407865,0.039172937
7/1/2018,0.044257258,0.030339882
8/1/2018,-1.28E-07,-0.000426037
9/1/2018,-0.093858063,-0.068447456
10/1/2018,0.004653467,0.018240559
11/1/2018,-0.095810363,-0.101788815
12/1/2018,0.090598145,0.079999998
1/1/2019,0.033722489,0.02946407
2/1/2019,0.026579814,0.011852928
3/1/2019,0.046387318,0.042882313
4/1/2019,-0.067532878,-0.06775967
5/1/2019,0.061375466,0.061089475
6/1/2019,0.022540457,0.017050234
7/1/2019,-0.006774049,-0.017804195
8/1/2019,-0.001498417,0.01223444
9/1/2019,0.024884715,0.024144258
10/1/2019,0.037422976,0.033998928
11/1/2019,0.026806281,0.023746268
12/1/2019,0.031459712,0.002778341
1/1/2020,-0.068395518,-0.087298987
2/1/2020,-0.114814222,-0.137746936
3/1/2020,0.141839406,0.12356342
4/1/2020,0.067286366,0.046371022
5/1/2020,0.044757066,0.01464191
6/1/2020,0.075041978,0.059377489
7/1/2020,0.096289006,0.071274287
8/1/2020,-0.049551008,-0.045001597
9/1/2020,-0.03182886,-0.023124769
10/1/2020,0.100046272,0.092260777
