Date,VWIGX Equity,VFINX Equity
3/1/1997,0.004522088,0.057699645
4/1/1997,0.064858014,0.054651213
5/1/1997,0.047479349,0.035938182
6/1/1997,0.024132721,0.075735838
7/1/1997,-0.105008831,-0.062089683
8/1/1997,0.053850513,0.045829573
9/1/1997,-0.097344449,-0.035406891
10/1/1997,-0.016463414,0.040751028
11/1/1997,-0.042637671,0.00067626
12/1/1997,0.062338913,0.018610021
1/1/1998,0.063541343,0.064996821
2/1/1998,0.025865037,0.041632534
3/1/1998,0.011662246,0.009414846
4/1/1998,-0.003758541,-0.021879275
5/1/1998,-0.012700493,0.033187639
6/1/1998,0.018611531,-0.012208471
7/1/1998,-0.145891335,-0.160586057
8/1/1998,-0.021908242,0.055121993
9/1/1998,0.06646458,0.077137362
10/1/1998,0.055303754,0.055308877
11/1/1998,0.009806624,0.045500118
12/1/1998,0.022830665,0.044706861
1/1/1999,-0.036568819,-0.03546976
2/1/1999,0.012560425,0.029364183
3/1/1999,0.042423937,0.039983414
4/1/1999,-0.043058397,-0.027915015
5/1/1999,0.037080324,0.047164431
6/1/1999,0.004304192,-0.032556696
7/1/1999,0.001609817,-0.008952735
8/1/1999,-0.018229163,-0.034683645
9/1/1999,0.023715561,0.060156917
10/1/1999,0.061665655,0.015969593
11/1/1999,0.046357239,0.046751881
12/1/1999,0.008512589,-0.048881179
1/1/2000,0.067888716,-0.023679273
2/1/2000,0.021982224,0.086207779
3/1/2000,-0.065299043,-0.033191745
4/1/2000,-0.013387282,-0.025482427
5/1/2000,0.031336854,0.017397719
6/1/2000,-0.035032785,-0.017389135
7/1/2000,-0.012059705,0.055171427
8/1/2000,-0.072181918,-0.061946643
9/1/2000,-0.036016276,-0.007162281
10/1/2000,-0.029275892,-0.08723038
11/1/2000,-0.047332269,-0.003331483
12/1/2000,0.085061085,0.032815905
1/1/2001,-0.073061268,-0.100721753
2/1/2001,-0.068838417,-0.072551037
3/1/2001,0.048733323,0.073476054
4/1/2001,-0.040219439,0.002901456
5/1/2001,-0.043787451,-0.030517782
6/1/2001,-0.02547923,-0.010619219
7/1/2001,-0.031189893,-0.067831832
