Date,Open,High,Low,Close,Adj Close,Volume,Monthly Total Return ,Monthly Risk Free Return,Equity Premium
6/1/1996,62.75,63.779999,62.27,62.889999,39.968777,0,-0.041708024,0.004307377,-0.046015401
7/1/1996,63.389999,63.389999,58.82,60.110001,38.336044,0,0.020745035,0.004307377,0.016437658
8/1/1996,61.060001,63.09,61.060001,61.369999,39.139633,0,0.051137949,0.004423535,0.046714414
9/1/1996,61.619999,64.760002,61.16,64.589996,41.193214,0,0.0305962,0.004398645,0.026197555
10/1/1996,64.760002,66.870003,64.760002,66.370003,42.473049,0,0.072912431,0.004274186,0.068638245
11/1/1996,66.230003,71.389999,66.230003,71.389999,45.685555,0,-0.031734902,0.004299079,-0.036033981
12/1/1996,71.339996,71.339996,68.050003,69.160004,44.258492,0,0.072312361,0.004265888,0.068046473
1/1/1997,68.830002,73.470001,68.830002,73.470001,47.577484,0,0.007863158,0.004332269,0.003530889
2/1/1997,73.540001,76.389999,72.769997,74.050003,47.953068,0,-0.046436151,0.004282484,-0.050718635
3/1/1997,74.470001,76.220001,70.690002,70.690002,45.777222,0,0.062040211,0.004340566,0.057699645
4/1/1997,70.93,74.900002,68.910004,74.900002,48.707199,0,0.059099637,0.004448424,0.054651213
5/1/1997,74.650002,79.559998,74.650002,79.459999,51.672539,0,0.04032853,0.004390348,0.035938182
6/1/1997,79.279999,84.260002,78.720001,82.730003,53.799007,0,0.079860653,0.004124815,0.075735838
7/1/1997,83.309998,89.32,83.309998,89.32,58.271648,0,-0.057724225,0.004365458,-0.062089683
8/1/1997,88.669998,89.900002,84.309998,84.309998,55.003204,0,0.050195031,0.004365458,0.045829573
9/1/1997,86.959999,89.660004,85.589996,88.650002,57.834557,0,-0.031049731,0.00435716,-0.035406891
10/1/1997,89.419998,92.019997,82.089996,85.68,56.066402,0,0.044958829,0.004207801,0.040751028
11/1/1997,87.970001,90.330002,84.93,89.620003,58.644604,0,0.005008529,0.004332269,0.00067626
12/1/1997,91.449997,92.32,86.529999,90.07,58.939064,0,0.022950587,0.004340566,0.018610021
1/1/1998,90.5,91.540001,86.129997,91.07,60.307392,0,0.069453542,0.004456721,0.064996821
