Date,VUSTX Equity,VFINX Equity
7/1/1996,-0.017392505,0.016437658
8/1/1996,0.023314263,0.046714414
9/1/1996,0.033739635,0.026197555
10/1/1996,0.027937408,0.068638245
11/1/1996,-0.028655721,-0.036033981
12/1/1996,-0.010912109,0.068046473
1/1/1997,-0.004790263,0.003530889
2/1/1997,-0.028301944,-0.050718635
3/1/1997,0.019301195,0.057699645
4/1/1997,0.0051984,0.054651213
5/1/1997,0.01360782,0.035938182
6/1/1997,0.047964167,0.075735838
7/1/1997,-0.030653506,-0.062089683
8/1/1997,0.021961461,0.045829573
9/1/1997,0.025085702,-0.035406891
10/1/1997,0.008718023,0.040751028
11/1/1997,0.012071731,0.00067626
12/1/1997,0.014770198,0.018610021
1/1/1998,-0.011542963,0.064996821
2/1/1998,-0.003454239,0.041632534
3/1/1998,-0.000148946,0.009414846
4/1/1998,0.013898169,-0.021879275
5/1/1998,0.019414266,0.033187639
6/1/1998,-0.009413903,-0.012208471
7/1/1998,0.043197765,-0.160586057
8/1/1998,0.028492277,0.055121993
9/1/1998,-0.021319062,0.077137362
10/1/1998,0.005379737,0.055308877
11/1/1998,-0.005232612,0.045500118
12/1/1998,0.006054969,0.044706861
1/1/1999,-0.052196809,-0.03546976
2/1/1999,-0.018929127,0.029364183
3/1/1999,0.009457627,0.039983414
4/1/1999,-0.021035249,-0.027915015
5/1/1999,-0.01431175,0.047164431
6/1/1999,-0.009661643,-0.032556696
7/1/1999,-0.00888847,-0.008952735
8/1/1999,0.00515376,-0.034683645
9/1/1999,-0.002998461,0.060156917
10/1/1999,-0.009854521,0.015969593
11/1/1999,-0.020544731,0.046751881
12/1/1999,0.008163956,-0.048881179
1/1/2000,0.025128091,-0.023679273
2/1/2000,0.0257807,0.086207779
3/1/2000,-0.011378614,-0.033191745
4/1/2000,-0.00965625,-0.025482427
5/1/2000,0.018413498,0.017397719
6/1/2000,0.009984355,-0.017389135
7/1/2000,0.015583179,0.055171427
