Date,VEIEX Equity,VFINX Equity
7/1/2001,-0.01287742,-0.067831832
8/1/2001,-0.17224955,-0.09090264
9/1/2001,0.061001981,0.019486433
10/1/2001,0.087300158,0.071752093
11/1/2001,0.048518291,0.003406093
12/1/2001,0.051269272,-0.012723065
1/1/2002,0.024913447,-0.021000278
2/1/2002,0.042789045,0.032549938
3/1/2002,0.001751268,-0.061438992
4/1/2002,-0.005814869,-0.009063139
5/1/2002,-0.087402302,-0.078775003
6/1/2002,-0.090286923,-0.078556718
7/1/2002,0.012677987,0.005089331
8/1/2002,-0.114447435,-0.121124132
9/1/2002,0.062062364,0.087200539
10/1/2002,0.060888951,0.058433235
11/1/2002,-0.043540792,-0.069772987
12/1/2002,0.015778464,-0.022507725
1/1/2003,-0.039713296,-0.016318133
2/1/2003,-0.021602288,0.004782548
3/1/2003,0.088209481,0.08204199
4/1/2003,0.065705832,0.050349808
5/1/2003,0.0607948,0.008321521
6/1/2003,0.071090296,0.019626821
7/1/2003,0.064811401,0.018390761
8/1/2003,0.010870005,-0.015474094
9/1/2003,0.089766158,0.057940914
10/1/2003,0.013364387,0.0078141
11/1/2003,0.06246411,0.045446994
12/1/2003,0.048110813,0.021918416
1/1/2004,0.043116074,0.012889463
2/1/2004,0.005857931,-0.019529726
3/1/2004,-0.080273068,-0.013183891
4/1/2004,-0.006405231,0.012695597
5/1/2004,0.001518051,0.014960182
6/1/2004,-0.015946887,-0.031252334
7/1/2004,0.042388067,0.00271167
8/1/2004,0.056591795,0.005416423
9/1/2004,0.024326316,0.017706489
10/1/2004,0.098323526,0.038237682
11/1/2004,0.034916664,0.024361502
12/1/2004,0.017294547,-0.019282928
1/1/2005,0.085672995,0.018872015
2/1/2005,-0.06934178,-0.023820336
3/1/2005,-0.02908394,-0.017625044
4/1/2005,0.033519043,0.028861069
5/1/2005,0.032947706,-0.004960601
6/1/2005,0.065524618,0.037693665
7/1/2005,0.009290034,-0.011779196
8/1/2005,0.082251814,0.000339527
9/1/2005,-0.068878136,-0.015129586
10/1/2005,0.07602091,0.034000816
11/1/2005,0.04206994,-0.008259249
12/1/2005,0.123798727,0.027997997
1/1/2006,-0.016378686,-0.000854043
2/1/2006,0.00988821,0.004534142
3/1/2006,0.067109986,0.013472504
4/1/2006,-0.115873708,-0.033244589
5/1/2006,-0.004159976,-0.00686922
6/1/2006,0.009553967,0.006184749
7/1/2006,0.017357556,0.019178607
8/1/2006,0.00506019,0.016784773
9/1/2006,0.043870671,0.032067768
10/1/2006,0.06928086,0.014571723
11/1/2006,0.021446954,0.004697835
