Date,VWESX Equity,VFINX Equity
6/1/2006,0.015672262,0.006184749
7/1/2006,0.027469697,0.019178607
8/1/2006,0.014770295,0.016784773
9/1/2006,0.009071175,0.032067768
10/1/2006,0.019810122,0.014571723
11/1/2006,-0.027388712,0.004697835
12/1/2006,-0.010170636,0.015631875
1/1/2007,0.028807301,-0.024063521
2/1/2007,-0.024766836,0.002645615
3/1/2007,0.006044698,0.043096611
4/1/2007,-0.022499538,0.029988575
5/1/2007,-0.015856801,-0.025028468
6/1/2007,0.0021017,-0.031280895
7/1/2007,0.005474782,0.010863707
8/1/2007,0.003054672,0.028034226
9/1/2007,0.013720017,0.016752325
10/1/2007,0.012642029,-0.045947746
11/1/2007,-0.008473096,-0.015778317
12/1/2007,-0.002150156,-0.059093847
1/1/2008,-0.009032725,-0.035851204
2/1/2008,-0.002594077,-0.010951738
3/1/2008,7.25165E-05,0.050788207
4/1/2008,-0.021545174,0.011614576
5/1/2008,0.005122031,-0.094160664
6/1/2008,-0.018963239,-0.005252316
7/1/2008,0.011936231,0.012777282
8/1/2008,-0.060543245,-0.100368646
9/1/2008,-0.099160375,-0.179460782
10/1/2008,0.078777786,-0.075219032
11/1/2008,0.1230265,0.001544284
12/1/2008,-0.057815768,-0.079151067
1/1/2009,-0.026952269,-0.11277904
2/1/2009,-0.002769732,0.076907959
3/1/2009,0.0042606,0.098101073
4/1/2009,0.042796885,0.05448078
5/1/2009,0.037993028,-0.003180267
6/1/2009,0.052475105,0.078201004
7/1/2009,0.023977751,0.035198127
8/1/2009,0.031039266,0.031436341
9/1/2009,-0.007438445,-0.013982421
10/1/2009,0.010211997,0.057976504
11/1/2009,-0.025171432,0.012898408
12/1/2009,0.018472047,-0.030417009
1/1/2010,-0.003915315,0.030400077
2/1/2010,0.001180607,0.054294682
3/1/2010,0.032583897,0.019607617
4/1/2010,-0.000859096,-0.083471381
5/1/2010,0.040353234,-0.059151196
6/1/2010,0.014957517,0.072581273
7/1/2010,0.050513768,-0.046506275
8/1/2010,-0.010792454,0.080211395
9/1/2010,-0.022472797,0.042121184
10/1/2010,-0.010201766,-0.000133324
11/1/2010,-0.008305458,0.060222367
12/1/2010,-0.015919878,0.027408903
1/1/2011,0.020953944,0.033492249
2/1/2011,-0.004445152,-0.004048192
3/1/2011,0.027278899,0.033146269
4/1/2011,0.025492349,-0.011595174
5/1/2011,-0.021638735,-0.021422097
6/1/2011,0.044262235,-0.01621897
7/1/2011,0.012837145,-0.0560289
8/1/2011,0.048115669,-0.078426293
9/1/2011,0.01776395,0.108711125
10/1/2011,-0.031821416,-0.002355834
11/1/2011,0.027844409,0.00449202
12/1/2011,0.032562902,0.04934198
1/1/2012,0.004118642,0.042149935
2/1/2012,-0.027194335,0.02808134
3/1/2012,0.029367168,-0.00231351
4/1/2012,0.028561514,-0.062123626
5/1/2012,-0.000724204,0.035261445
6/1/2012,0.050783415,0.01850667
7/1/2012,-0.004312826,0.02207163
8/1/2012,-0.000780325,0.02052124
9/1/2012,0.017222396,-0.014019696
10/1/2012,-0.004403804,0.005500468
11/1/2012,-0.014738275,0.002042017
12/1/2012,-0.007081598,0.057185498
1/1/2013,0.01140108,0.013258369
2/1/2013,-0.006811578,0.032196831
3/1/2013,0.039317413,0.023227063
4/1/2013,-0.04884887,0.022949618
5/1/2013,-0.050444372,-0.018378835
6/1/2013,0.007106492,0.054196805
7/1/2013,-0.015284854,-0.029584452
8/1/2013,0.005238675,0.025976194
9/1/2013,0.021369136,0.049514878
10/1/2013,-0.007056702,0.02981793
11/1/2013,-0.00736474,0.019647209
12/1/2013,0.047062909,-0.030183054
1/1/2014,0.015858659,0.044538726
2/1/2014,0.002655577,0.003930258
3/1/2014,0.02096441,0.011418383
4/1/2014,0.023016459,0.023039119
5/1/2014,0.002837912,0.016086007
6/1/2014,0.002747724,-0.009802896
7/1/2014,0.031108224,0.039064215
8/1/2014,-0.025630921,-0.01875036
9/1/2014,0.020679629,0.0283603
10/1/2014,0.01580726,0.02645374
11/1/2014,0.002622801,-0.007928712
12/1/2014,0.070035872,-0.025221046
1/1/2015,-0.02971999,0.055721255
2/1/2015,-0.003202005,-0.020876323
3/1/2015,-0.017061744,0.014267359
4/1/2015,-0.023276603,0.012620606
5/1/2015,-0.032797955,-0.023937194
6/1/2015,0.025446307,0.024967732
7/1/2015,-0.013090578,-0.062325924
8/1/2015,0.013661936,-0.030314751
9/1/2015,0.009400641,0.08575147
10/1/2015,-0.001266026,0.002859799
11/1/2015,-0.018372078,-0.021742274
12/1/2015,0.024565514,-0.045709451
1/1/2016,0.014632741,-0.001586496
2/1/2016,0.034368568,0.060205164
3/1/2016,0.021160998,0.008555387
4/1/2016,0.000399562,0.017497023
5/1/2016,0.039599913,-0.002401287
6/1/2016,0.027380173,0.040562346
7/1/2016,0.000426895,0.001077664
8/1/2016,-0.010417091,-0.004420138
9/1/2016,-0.025510563,-0.014444306
10/1/2016,-0.053327202,0.03608082
11/1/2016,-0.004780048,0.013167831
12/1/2016,0.018646194,0.024226461
1/1/2017,0.017974336,0.038437415
2/1/2017,-0.009008748,-0.0038669
3/1/2017,0.013978849,0.014067018
4/1/2017,0.020300458,0.013207943
5/1/2017,0.012402802,0.001167724
6/1/2017,0.006335049,0.023663739
7/1/2017,0.014854983,0.002072024
8/1/2017,-0.005039015,0.014621948
9/1/2017,0.006261971,0.026944143
10/1/2017,0.003458075,0.029251654
11/1/2017,0.005063584,0.005464184
12/1/2017,-0.005908366,0.059031323
1/1/2018,-0.034992955,-0.038843279
2/1/2018,0.003983147,-0.031354829
3/1/2018,-0.017645626,0.006555032
4/1/2018,0.003053731,0.022222707
5/1/2018,-0.008229468,7.79E-05
6/1/2018,0.011110045,0.039172937
7/1/2018,0.000965518,0.030339882
8/1/2018,-0.010443853,-0.000426037
9/1/2018,-0.034000963,-0.068447456
10/1/2018,-0.001301985,0.018240559
11/1/2018,0.029258438,-0.101788815
12/1/2018,0.02443096,0.079999998
1/1/2019,-0.00354536,0.02946407
2/1/2019,0.041527802,0.011852928
3/1/2019,-0.003524971,0.042882313
4/1/2019,0.031648155,-0.06775967
5/1/2019,0.028877337,0.061089475
6/1/2019,0.008596915,0.017050234
7/1/2019,0.06612724,-0.017804195
8/1/2019,-0.021659232,0.01223444
9/1/2019,-0.000491366,0.024144258
10/1/2019,0.002300924,0.033998928
11/1/2019,-0.022790051,0.023746268
12/1/2019,0.062213378,0.002778341
1/1/2020,0.025703159,-0.087298987
2/1/2020,-0.064528521,-0.137746936
3/1/2020,0.057005024,0.12356342
4/1/2020,0.005164644,0.046371022
5/1/2020,0.023200192,0.01464191
6/1/2020,0.058394691,0.059377489
7/1/2020,-0.045044248,0.071274287
8/1/2020,-0.001577659,-0.045001597
9/1/2020,-0.014554247,-0.023124769
10/1/2020,0.04684388,0.092260777
